"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MLL1/2 Complex (GO:0044665)","6/31",0.79856532193313,0.99998945479369,0,0,0.748972348328518,0.168472723218396,"INO80C;RUVBL1;DPY30;KAT8;E2F6;RNF2"
"Vesicle (GO:0031982)","52/235",0.799522313866148,0.99998945479369,0,0,0.885906193078324,0.198213393427472,"RAB3B;SNAP25;SERPINE2;CLTC;GDI2;ECE1;ABCA13;EPS8;ARRDC4;SLC30A7;SLC34A2;PACRG;ANXA1;RIPK2;ANXA4;MYO7B;APOA1;ATP1B1;GPRC5A;TUBB2A;BIN1;RIN3;WDFY2;EZR;VCL;DDR2;CETP;SLC24A4;AHNAK;TYRP1;ATP1A2;PRELP;ATP1A1;GIGYF2;EGFR;CST3;RAB21;PROM1;GBP1;MUC4;ABCA1;RAB4A;MSN;SLC4A11;MYO1D;MYO1E;MYO1B;SYNJ1;VAPA;STK26;MYO5C;PICALM"
"Monoatomic Ion Channel Complex (GO:0034702)","7/36",0.805329585162776,0.99998945479369,0,0,0.753232981032703,0.163077699329066,"CHRNA1;CHRNA2;TRPC3;CHRNA7;LRRC8D;STXBP5;BEST1"
"Multivesicular Body (GO:0005771)","10/50",0.805584813513858,0.99998945479369,0,0,0.78004956629492,0.168636410924114,"CRHBP;LAPTM4B;STEAP3;CHMP1B;CTSH;RAB27A;SORL1;TPT1;MBL2;ECPAS"
"Golgi Lumen (GO:0005796)","21/100",0.809184521279901,0.99998945479369,0,0,0.829162397910122,0.175557146836157,"APP;MUCL1;WNT7B;OMD;WNT5A;SDC3;DEFA5;GOLIM4;PRELP;NGF;SOD3;DCN;RAB33B;F9;CSPG5;SDC1;BPNT2;FMOD;MUC20;GPC6;MUC4"
"Acrosomal Vesicle (GO:0001669)","13/64",0.810171663664006,0.99998945479369,0,0,0.795258297574041,0.167409127035544,"SPAG17;LRGUK;ACTL7A;CCDC136;VPS13B;PRSS55;ZPBP;IQUB;SCNN1A;SPACA3;TRIM36;SPACA7;SPACA9"
"AP-3 Adaptor Complex (GO:0030123)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"AP3S2"
"COPI-coated Vesicle (GO:0030137)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"KDELR2"
"G Protein-Coupled Receptor Dimeric Complex (GO:0038037)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"GRM1"
"PTW/PP1 Phosphatase Complex (GO:0072357)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"PPP1R12A"
"U7 snRNP (GO:0005683)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"LSM11"
"X Chromosome (GO:0000805)","1/6",0.811266284103699,0.99998945479369,0,0,0.624324881467739,0.130583129368431,"SMCHD1"
