"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"R-SMAD Binding (GO:0070412)","11/19",0.00683475656404529,0.528204163872346,0,0,3.46109839816934,17.2561174338909,"SMAD2;SMAD4;SMAD3;SMURF1;PMEPA1;PAX6;PPARG;FOS;LDLRAD4;SMAD6;TRIM33"
"Metalloaminopeptidase Activity (GO:0070006)","11/19",0.00683475656404529,0.528204163872346,0,0,3.46109839816934,17.2561174338909,"NPEPPS;ERAP2;XPNPEP1;LVRN;MMP15;XPNPEP3;ERAP1;NPEPPSP1;LNPEP;TRHDE;METAP1"
"Protein Tyrosine Kinase Activity (GO:0004713)","40/99",0.00693547240408367,0.528204163872346,0,0,1.70918948744707,8.49656230198365,"ALK;DYRK2;TXK;EGFR;IGF1R;CAMKK2;TTN;ERBB4;ERBB2;KDR;ABL1;ABL2;PTK2B;CSK;FYN;EPHB4;LYN;EPHA4;PDGFRA;EPHA7;YES1;MUSK;SYK;RIPK2;INSR;TNK2;NTRK3;STYK1;MERTK;HIPK2;BCR;HCK;FER;KIT;ROR1;TEK;EPHA1;MET;FRK;DDR2"
"Death Domain Binding (GO:0070513)","7/10",0.00771288502250045,0.528204163872346,0,0,5.87129873937262,28.5630638177946,"DAP;CRADD;DAPL1;BCL2;IRGM;BCL2L1;MCL1"
"Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004112)","6/8",0.00851131370584717,0.528204163872346,0,0,7.54801266268027,35.9765379079623,"PDE11A;PDE10A;PDE4D;PDE3A;PDE5A;PDE9A"
"Adenylate Kinase Activity (GO:0004017)","5/6",0.00853667935797514,0.528204163872346,0,0,12.5786882363285,59.9171119809248,"AK2;AK4;AK5;AK8;AK9"
"Beta-Galactoside (CMP) Alpha-2,3-Sialyltransferase Activity (GO:0003836)","5/6",0.00853667935797514,0.528204163872346,0,0,12.5786882363285,59.9171119809248,"ST3GAL4;ST3GAL5;ST3GAL6;ST3GAL1;ST3GAL3"
"Cell-Cell Adhesion Mediator Activity (GO:0098632)","20/43",0.00890231736863504,0.528204163872346,0,0,2.19001042497087,10.3400108311405,"NTNG1;ROBO4;ANXA2;DSCAM;TMOD3;NFASC;BAIAP2L1;KRT18;PALLD;CNTN1;NRCAM;EMB;STXBP6;CD47;CNTN4;LRRC4C;PDLIM5;DSCAML1;S100A11;CD200"
"Ephrin Receptor Activity (GO:0005003)","9/15",0.0105607687623902,0.563945051911636,0,0,3.77494281189513,17.1782895039495,"EPHA5;EPHB6;EPHA4;EPHA7;EPHA6;EPHA1;EPHA3;EPHB4;EPHB3"
"Insulin-Like Growth Factor Binding (GO:0005520)","9/15",0.0105607687623902,0.563945051911636,0,0,3.77494281189513,17.1782895039495,"IGFBP1;IGFBP3;INSR;ITGB3;IGFBP2;ITGA6;ITGAV;IGF2R;IGF1R"
