"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SMARCD1 25818293 ChIP-Seq ESCs Mouse","59/1683",0.283844216233827,0.845855764376805,0,0,1.09156403940887,1.37463904234246,"ITSN2;AVEN;GPR26;DGKD;RGSL1;COL12A1;GXYLT2;DCAF5;RSRC1;TNR;RGS9;TTC23L;NCOA2;NCOA6;ENTPD5;NXPE2;CACNA2D4;PAX5;RUNX2;SUPT3H;SHISA6;CACNB2;SLC9A5;LIX1;MTHFD2L;VOPP1;ROR2;TLCD1;PLA2R1;DGKH;SLC26A2;CFH;PDE1C;TMTC3;UBR3;PDS5B;RCHY1;NR2C2;LMAN1;HMBOX1;P2RY2;CNNM2;LEKR1;VAT1L;ATG5;NEK8;ATE1;PCGF6;SLC37A2;KCNJ6;KIDINS220;NUP153;LRP1B;TSHR;ATP13A4;HOXD3;FGFR2;NEK11;CCDC171"
"RUNX 20019798 ChIP-Seq JUKART Human","19/505",0.28633458033044,0.849877539227799,0,0,1.17066758116141,1.4640301932162,"MYLIP;GPR12;CLEC2L;RGS16;ICAM2;CAPG;UACA;RUNX2;CRNN;PTPRC;CCND1;SLC9A8;IL21R;S1PR1;TGM6;SGK1;SSBP2;RGS9;ATP6V0A1"
"STAT6 21828071 ChIP-Seq BEAS2B Human","2/33",0.290696705019671,0.853586782242397,0,0,1.92650944807299,2.38015388685249,"PPP4R1;VEZF1"
"HOXD13 18407260 ChIP-ChIP DEVELOPING-LIMBS Mouse","6/138",0.291503257700735,0.853586782242397,0,0,1.35861727696875,1.6747730844008,"RPL30;EMX2;OPA1;STAB2;ITGB8;FOXL2"
"CTCF 18555785 ChIP-Seq MESCs Mouse","40/1123",0.29206250483139,0.853586782242397,0,0,1.10791194562328,1.36360410949186,"CDC123;VIPR1;TBC1D9B;PDE1C;GCNT1;CHRM5;PPM1J;GLI1;LRP8;UACA;KRT85;GIMAP8;P2RY6;TNR;RPL38;NT5M;NBN;RGS9;UNC45A;ZBP1;SLC37A2;KCNJ6;PABPC4;ARHGEF17;WNT7A;PAX5;TSHR;INHBE;SLC9A5;LIX1;BAMBI;PEX5;SNRPE;MCM5;ROR2;TLCD1;STEAP1;PFDN4;FGFR2;HOXB5"
"YAP1 20516196 ChIP-Seq MESCs Mouse","65/1868",0.292893229815704,0.853586782242397,0,0,1.08325925588251,1.33018510485291,"OTUD4;GPR26;SLC35F3;CHD2;HAPLN3;ACTB;SHH;OPA1;CCND1;RSRC1;BASP1;CHORDC1;TRIM24;PROK2;RPL38;KPNA4;UGT2A2;RGS9;HS3ST3B1;NCOA2;PAQR3;IL16;UNC93A;TM4SF4;SUPT3H;PSMA6;ACTA1;MELK;MYH3;B3GNT7;PRKAR1A;HOXB3;SNRPE;MCM5;SGK1;EXOC2;TBC1D9B;PPM1L;PDE1C;CCDC68;STXBP4;SEZ6;CLEC16A;LRP8;PTDSS1;SYNGR2;RNF216;NFIL3;DSEL;SMYD2;SLIT1;RAB11FIP4;SLC12A2;MARCKSL1;KCNJ6;TGFB2;PLEKHA5;PTPN14;MARCO;ID2;SERBP1;SSBP2;CALM2;FGFR2;PTPN3"
"E2F1 21310950 ChIP-Seq MCF-7 Human","31/858",0.29331304195175,0.853586782242397,0,0,1.12357607134611,1.37808272283023,"HCN4;CERKL;FOXK1;CHD2;NR2C2;NUBP1;SNAPC5;ABHD10;EXO1;CASP6;NBN;TXNDC5;UNC45A;TFAP2A;RRM2;ACTL6A;PAWR;RPL23A;NUP153;CDC20B;PSMA6;AFG3L2;KATNAL1;MAK;SERBP1;PPP1R3D;RBM12B;SNRPE;MCM5;MFGE8;CALM2"
"EOMES 20176728 ChIP-ChIP TSCs Mouse","44/1243",0.294804776721155,0.854589722401792,0,0,1.10103874440822,1.34485487305138,"AVEN;ANKRD37;SLC26A2;RGS16;CHRM5;ARPC5L;SMC5;COX7A2;LRP8;UACA;NFIL3;CCND1;PROK2;KPNA4;IARS2;KCNJ2;ATG5;ATP6V0A1;MYLIP;NCOA2;ATE1;RRM2;RPP40;MED8;PAWR;WNT7A;FOXL2;VEZF1;NUP153;EIF2S2;SMUG1;MRAS;UBLCP1;KATNAL1;B3GNT7;LACTB2;PSMC1;ID2;ELF5;PEX5;MFGE8;FGFR2;PTPN3;ABCG2"
"SPI1 22790984 ChIP-Seq ERYTHROLEUKEMIA Mouse","55/1572",0.297532925329618,0.855837951237703,0,0,1.08852755194219,1.31954617527176,"ARHGAP9;HDDC2;RPL30;ANKRD37;KLHL36;ARPC5L;ICAM2;PIK3CD;CHD2;THG1L;SNAPC5;NEK1;RPL38;KPNA4;UBAP2L;UNC45A;DDX55;WDR75;POMGNT1;CD200R1;TFAM;SNRPE;NUP54;SGK1;EXOC2;SLC26A2;HDAC1;DDX1;UTP23;GNAI3;LIN7C;NR2C2;ARPP19;AMN1;PTDSS1;MED30;TPR;AMZ2;NT5M;ATG5;SRD5A3;GFPT1;CPPED1;SMUG1;EIF3M;BAMBI;SERBP1;CASS4;RGS10;CCNYL1;SNRNP48;RAD1;CALM2;TOMM6;NEK11"
"NCOR 22424771 ChIP-Seq 293T Human","55/1572",0.297532925329618,0.855837951237703,0,0,1.08852755194219,1.31954617527176,"AVEN;CIITA;UXS1;CHRM5;AQP9;STAB2;NUBP1;UCHL1;OR10W1;TRIM24;PROK2;TTC23L;ADAMTS6;PTGDR;PLA2G4F;PLEKHG7;PAWR;BPGM;TM4SF4;TMEM130;RUNX2;AFG3L2;CD200R1;KIAA1614;KATNAL1;LACTB2;ELF5;NUP54;HOXB8;RCCD1;STEAP1;XPR1;CDC123;SLC26A2;NXPH3;MRO;LRP8;CPLX4;STRA8;CLEC3A;FGD5;SLIT1;UGT3A2;CNNM2;TFAP2A;KIDINS220;NUP153;OPN5;TSHR;KLHL9;PRC1;PSMC1;SCGB1A1;TRMT12;ALDH8A1"
"EWS 26573619 Chip-Seq HEK293 Human","24/656",0.301435839417575,0.857507534596296,0,0,1.13735696202532,1.36391629656147,"MYLIP;FOXD3;SLC35F3;RPE;SRD5A3;RPP40;PAWR;PDS5B;UACA;ACTB;LRP1B;ZC3H12D;CREB1;RNF216;EXO1;BAMBI;TRA2B;SERBP1;SMYD2;SLITRK6;S1PR1;STRAP;KCNJ2;RUNX1T1"
"TBX2 33478486 ChIP-Seq IMR90 Human Lung","81/2354",0.301474223308737,0.857507534596296,0,0,1.0714557915022,1.28475131161568,"SLC35F3;COL12A1;ARPC5L;LRRC72;GDE1;GRIK1;DCAF5;ACTB;CCAR2;ZC3H12D;FADS3;UNC80;BOLL;UCHL1;HINT3;CCND1;BBX;ITGB8;RPL38;MAN1A1;PTGDR;UNC45A;HS3ST3B1;ARHGEF17;PAWR;CACNA2D4;PAX5;TMEM130;ACTA1;SLC9A8;VOPP1;HOXB3;ANKS6;PLA2R1;EXOC2;XPR1;HOXB5;SHANK1;CERKL;TBC1D9B;PDE1C;RPE;RGS16;GNAI3;KCNA5;CAPG;UACA;KLC4;AMN1;HMBOX1;MED30;NFIL3;HLX;NPBWR1;TRA2B;CHST15;SLIT1;RHBG;RAB11FIP4;PACSIN1;ATE1;SLC37A2;KCNJ6;CA10;HELT;BDNF;TGFB3;HTR1B;NUP153;PTPN14;DHRS3;NAP1L5;RAD52;DHRS7;CYP24A1;ZFAT;RGS10;ECHDC2;ANKRD62;RCOR3;SSBP2"
"NKX2-5 21415370 ChIP-Seq HL-1 Mouse","35/980",0.302100423343361,0.857507534596296,0,0,1.11026661840994,1.32898446718742,"UXS1;TMTC3;GLRX;PDS5B;CHD2;FSTL1;FGD5;PPP4R1;TPR;SMYD2;IL21R;NPHP3;PGM1;CCDC50;SGCG;RUNX1T1;UNC45A;HS3ST3B1;ELOVL1;ATE1;STARD5;TGFB3;DEXI;MLF1;TSHR;SLC9A5;PRKAR1A;LIX1;ZC3H11A;FDX1;SERBP1;ATP13A4;PICK1;ECHDC2;SNRPE"
